policy,n,mean_recovery,median_recovery,completion_rate,default_rate,mean_completion_t,mean_burden,mean_burden_months,mean_household_violation_months,household_violation_zero_rate,mean_reward
Random,1302,0.9276167678184929,0.9356223103176657,27.80337941628264,72.19662058371735,22.654696132596683,0.13638155284787273,20.334869431643625,20.334869431643625,0.0,-25.658972379498806
Fixed-0.05,1302,0.3333333381484886,0.3333333383003871,0.0,100.0,,0.046137908318412746,19.817204301075268,19.817204301075268,0.7680491551459293,-28.0196772721425
Fixed-0.10,1302,0.6666666762969772,0.6666666766007742,0.0,100.0,,0.09497349430600552,20.737327188940093,20.737327188940093,0.0,-27.318394221110676
Fixed-0.15,1302,1.0000000392807347,1.00000003973643,79.72350230414746,20.276497695852534,23.745664739884393,0.14496564444895424,20.737327188940093,20.737327188940093,0.0,-25.682949369798685
Fixed-0.20,1302,1.0373536570875361,1.0323135514028967,100.0,0.0,18.2357910906298,0.19490254524966463,15.95468509984639,15.95468509984639,0.0,-19.916687909862915
RevProportional-0.10,1302,0.6372557952007275,0.6339189354533217,0.07680491551459294,99.9231950844854,14.0,0.09041334011900588,20.672043010752688,20.672043010752688,0.0,-27.38154431794362
CVaR,1302,0.2786496633202634,0.20000000180914904,0.0,100.0,,0.03677986594431847,20.737327188940093,20.737327188940093,0.0,-29.218452175000703
