policy,n,mean_recovery,median_recovery,completion_rate,default_rate,mean_completion_t,mean_burden,mean_burden_months,mean_household_violation_months,household_violation_zero_rate,mean_reward
Fixed-0.15,1302,1.0000000392807349,1.00000003973643,79.72350230414746,20.276497695852537,23.745664739884393,0.1449656444489542,20.737327188940093,20.737327188940093,0.0,-25.682949369798685
CVaR,1302,0.2786496633202634,0.200000001809149,0.0,100.0,,0.0367798659443184,20.737327188940093,20.737327188940093,0.0,-29.218452175000703
PPO,260,0.9804426259666504,1.042857339261002,91.15384615384615,8.846153846153847,,0.22750087601703098,12.211538461538462,12.211538461538462,2.6923076923076925,-16.044939729957807
