seller_id,type,mape_val,mape_test,smape_val,smape_test,wape_val,wape_test
k_001cca7a_0,stable,19.55304128962938,3.035299632938464,22.718331817804717,2.94592932614071,17.28572662032428,2.685606884053394
k_001cca7a_1,stable,8.203577396195982,74.90919255973077,8.642599380469527,49.34738730222315,7.464369036798316,57.79675603190917
k_004c9cd9_0,stable,20.3739466556207,39.82231747557856,22.16038487775792,52.505084259159254,20.52770662602955,40.57196382818952
k_004c9cd9_1,stable,18.785902576534475,32.45263864282058,23.071818563995695,41.80500935400644,21.287214536548866,32.10408708889474
k_00ee6830_0,stable,15.88376604148554,45.267896905240406,18.20428414028449,64.12380853910616,19.28761912754475,48.671775439421985
k_00ee6830_1,stable,33.84995079838877,43.496171987331756,41.578604533893476,51.18761912988553,34.1773350048505,44.37197715726355
k_013900e8_0,growth,46.43172302298984,56.25391447704309,107.02625322504096,118.8566165272033,70.8714841831378,71.56467513914477
k_013900e8_1,stable,66.47368177947132,82.17746062303557,103.9907161459012,139.6696014956979,70.73687862862529,82.36118174780808
k_014c0679_0,stable,35.12739664731275,100.31740557894287,35.43708574141145,56.256890297161235,36.03124323152991,50.493616564786755
k_014c0679_1,stable,12.896320437644192,71.67609764246278,11.889113202277922,64.08163833537034,13.246792815587469,51.53298675201552
k_01c97ebb_0,volatile,74.23574081059118,88.15232107353374,172.6851286627136,185.87641211072966,131.79094859086428,122.2699483328584
k_01c97ebb_1,stable,253.98673926313776,18.247113930563064,112.73377902568507,80.61682822187049,109.5195682051995,42.60546627184511
k_01cf7e3d_0,stable,87.59254522728372,16.939886345413274,113.86460540761402,79.02249285134161,125.61763235092998,83.45278935659708
k_01cf7e3d_1,stable,40.65133499105869,34.26246917033659,109.17579847400222,45.183308525943005,88.84748607437635,37.98022948126296
k_01fdefa7_0,stable,28.625692357776806,50.37346224695539,35.461911236935926,67.56837900512387,29.168846489717875,49.81521438481292
k_01fdefa7_1,stable,23.6643115879659,26.63843982059791,25.639986084590564,35.36885052073927,25.330844808025827,27.975663200823814
k_02c98809_0,stable,36.003831656446465,50.35707179048027,95.96128223479411,68.33094364365748,81.56795211202626,49.34766970445143
k_02c98809_1,stable,24.92191565632401,53.5025734114976,29.13780686366411,74.89198983288216,24.515553696376525,53.33873084141544
k_02d35243_0,stable,35.485081258796136,50.990078602976055,143.37928644116477,70.7326890873175,229.33126407437473,50.95036798086132
k_02d35243_1,stable,5.214399802324786,41.003768073367056,70.23603796374364,105.38425456969391,37.54384346457798,98.23426269465112
k_02ecc2a1_0,stable,34.83716948046916,53.28058948165193,41.76193342677835,115.81159257275509,35.904257107378434,89.73451559365994
k_02ecc2a1_1,stable,200.57417010758854,58.751561064007895,69.36974453168641,122.14506106463239,60.31386429967854,77.92582084540133
k_0432ead4_0,decline,1168.7975039349049,626.6118750124541,190.25908997130418,183.86989863515757,3303.1366618570255,1793.5202909442996
k_0432ead4_1,stable,,,200.0,200.0,,
k_048c2757_0,stable,21.151372633207632,32.212619720736704,24.709367417618143,42.07378200283837,21.43832550153847,32.06240456019155
k_048c2757_1,stable,33.11759319148259,39.99486613698447,40.1892128842202,53.43236475277079,32.716632522497754,41.03339629645032
k_04aba032_0,decline,80.37160914847193,58.37689385348017,135.62295780889986,121.7040890076388,81.38285817088374,90.8593478763247
k_04aba032_1,stable,14.034379128104025,34.789747829780644,17.535424783300513,95.42560758218775,17.13179765396804,52.43408288810443
k_0509040e_0,stable,30.66640683146458,31.442741107331983,42.19941066339003,41.0847768780438,43.06778154893456,40.71283805739789
k_0509040e_1,growth,34.906828231405385,33.508057539929695,46.93477652144739,40.31005210855055,38.075143310684794,33.49175582423643
k_054694fa_0,stable,33.78972813244641,159.69153375374395,85.08252988269963,162.9312005367862,60.50785281903135,750.0385113472844
k_054694fa_1,stable,27.78541224868472,34.3571132895669,33.32506528072369,94.80285011945672,27.914585785738886,88.73563544292821
k_058cb5ae_0,stable,20.88959423603648,46.325832254998474,80.930746872099,64.7997023808773,58.634666285190086,48.340594894121416
k_058cb5ae_1,stable,58.61034484114046,53.19546731654605,82.95737672752892,63.92365269765731,58.3655662210827,64.21007248448313
k_05d2173d_0,stable,33.318796761122876,54.34713826358445,38.30129591573626,52.044319155622986,37.8853916087019,48.76911231367446
k_05d2173d_1,stable,163.39040031808963,60.46773655460148,68.73834241969111,88.07811513257698,52.43292610943815,60.65546654191885
k_05ff92fe_0,stable,44.674514049952,67.29434955622281,59.211068991785666,167.13965548625129,45.93724007198173,142.45663695618117
