seller_id,type,kosis_category,status,mape_val,mape_test,smape_val,smape_test,wape_val,wape_test
k_b7ed9fb1_1,decline,사무·문구,ok,185.16468993394201,187.9369637948198,123.8509098777053,165.63015495376885,293.8937326421531,850.063401654369
k_52562a9f_0,decline,스포츠·레저용품,ok,640.7681049498619,544.9034055382651,141.51266314311977,125.73389413609857,444.7854725296441,313.5518741053833
k_9d7a1d34_1,decline,사무·문구,ok,225.52664547305574,33.80719125653831,94.68237152817184,26.18625607666763,82.89381230233967,27.29798715802688
k_2dee2ce6_1,decline,화장품,ok,,20.721709915024597,200.0,24.170279827749454,,23.846858958265585
k_04aba032_1,decline,화장품,ok,100.0,60.665460571077624,200.0,162.3596182347519,263.7433811087814,225.35895637048205
k_6288c69c_0,decline,아동·유아용품,ok,17.569175983703293,850.2633651193514,138.71680915713884,131.27196703689762,260.26384593310684,89.8952975989058
k_35fb5114_1,decline,애완용품,ok,33.92629362704376,38.299394688493415,146.95230383664892,52.24170958656219,131.90540375912485,39.20216714052244
k_ad273c9e_1,decline,생활용품,ok,65.06687041124302,76.20423745301937,98.81437845523969,129.8565808847848,105.48276197669975,75.50719950836435
k_2e3be8a9_1,decline,컴퓨터 및 주변기기,ok,98.70663969436295,17.699223014510068,108.11703652178228,138.75341790978905,117.28865620390533,438.62712018774783
k_ed4acab3_1,decline,컴퓨터 및 주변기기,ok,129.9384333988319,162.75751793718024,74.31379874872444,108.44169978737786,129.44062618502898,200.84653017961367
k_ab9db4cf_0,decline,음·식료품,ok,42.85285180521677,92.20776399121421,103.34358711519884,139.58218511360468,50.9160593590271,93.02722256853247
k_1660ad78_0,decline,컴퓨터 및 주변기기,ok,71.72698259518744,79.3739851820393,151.83863125553626,94.39392387989143,84.6844794379405,76.7105884606054
k_45d33f71_1,decline,컴퓨터 및 주변기기,ok,35.29714579900011,67.94102745789819,98.27975594353195,138.42752232616047,95.25358499099954,70.03373960715898
k_e6a69c4a_1,decline,생활용품,ok,65.54955725254817,83.63377352676733,131.6936848091474,162.49923659892625,85.1944555183744,94.4874274838022
k_1771297a_0,decline,아동·유아용품,ok,,96.12443244214236,200.0,109.79978671485947,,188.95294863923647
k_0ac4201f_1,decline,화장품,ok,96.00309038610423,87.2783838309731,190.1305225490974,105.64536807522826,101.34062112885933,92.69148597860016
k_35fb5114_0,decline,애완용품,ok,26.74031650694521,23.520353535257854,143.62244232389168,28.01325278704136,100.3927198550885,24.13152963336531
k_2a1348e9_0,decline,가구,ok,2976.414652498048,,145.27622332078835,200.0,469.4049756017152,
k_a1544b9e_0,decline,가방,ok,22.99585005016439,85.32762561451108,79.21046982087174,182.93994874340532,34.87324839308459,147.52876693615414
k_afa6714a_1,decline,아동·유아용품,ok,174.12254285577166,,164.3647240386906,200.0,148.65528851720137,
k_6bd69102_0,decline,농축수산물,ok,135.14758532933791,111.38962544353288,73.27337805089823,73.95719063362301,56.034039585402574,56.27974841889641
k_cd843d4c_1,decline,가구,ok,33.62339123327804,35.70822169951328,146.8061371857954,147.8230913597326,260.224864294069,241.91015509200807
k_c53bcd3b_0,decline,생활용품,ok,100.0,100.0,133.33333333333331,133.33333333333331,100.0,100.0
k_670a9dda_0,decline,가방,ok,14.767644365019695,49.95624166579677,138.64833146613645,62.817163180681035,208.18483849271158,53.11990226697263
k_2a1348e9_1,decline,가구,ok,450.65251370334715,,111.22585457240123,200.0,220.89436478624089,
k_78744a20_0,decline,가구,ok,39.98753655806716,39.43054467102994,149.9935091296095,149.70446053609462,298.07905069928233,245.86333551357004
k_6a51fc55_1,decline,가전·전자,ok,19.465991167887974,58.20595157451328,81.18981799769772,121.780937080848,46.95400029123305,91.98858818850788
k_49e7217c_0,decline,생활용품,ok,88.74311987131516,100.0,151.9495692986432,133.33333333333331,115.23118462130653,196.42881312621697
k_57c764b4_0,decline,생활용품,ok,65.19427640978127,139.3324856831879,40.3705950854498,60.38311296246089,43.111275604019596,62.47931646689673
k_0afccdb8_1,decline,통신기기,ok,124.55186402448766,291.40372915952406,105.52689089935699,136.38672139458404,62.82666007144081,295.7410958374044
