seller_id,type,status,mape_val,mape_test,smape_val,smape_test,wape_val,wape_test
k_9646c351_1,decline,ok,178.98117381205304,100.0,175.16808975053698,200.0,136.3752734153842,100.0
k_6989574b_0,decline,ok,11.978523506992632,9.986333928830716,137.1005462593785,73.72916036844805,228.25883333652243,52.54076874721808
k_70f84699_0,decline,ok,33.637119553833585,5.4903046630909955,146.81275032171547,70.52358770430439,117.69738746444676,41.72820287717611
k_0432ead4_0,decline,ok,100.0,100.0,66.66666666666666,66.66666666666666,100.0,100.0
k_f8d5c708_1,decline,ok,29.654889022585973,49.988250588985075,144.9391410384213,111.23245267276532,118.4882459136301,68.09207976667992
k_e6a69c4a_0,decline,ok,100.0,100.0,200.0,133.33333333333331,100.0,100.0
k_96163520_1,decline,ok,96.25774000542123,100.0,190.51040028836738,200.0,130.86904929081268,100.0
k_9c3c24ec_0,decline,ok,52.557409014930045,,157.09734374750735,200.0,105.37875882792271,
k_ab9db4cf_1,decline,ok,38.57992027643558,217.893843175391,149.2668819321217,123.99338751938345,237.52666434821285,214.55398906099026
k_eba88037_1,decline,ok,59.50249474426755,71.38014328914471,161.56752137625105,140.6637446784398,148.31097417333757,84.47277384901756
k_cd843d4c_1,decline,ok,64.0495104796706,54.55745193959659,129.62338593686522,80.03832778950174,89.36950847604295,61.71370055909053
k_f25e2390_0,decline,ok,60.549039877796595,192.31670342045467,148.82601240984437,166.01385254034494,308.48242337136793,848.3820391353087
k_392e0502_0,decline,ok,28.89551139251529,255.91101875731349,144.59176051923137,162.2548177800555,123.18173854051051,110.20240993090185
k_ce27a3cc_0,decline,ok,234.61623912424292,151.0761254357243,138.63246627827428,115.45168706977236,382.04425918520474,208.91842126878277
k_5ee7fd21_0,decline,ok,154.0668682142945,28.969638897346208,162.34232985260994,144.62553459731765,565.8511865406736,192.75235611157305
k_2a1348e9_0,decline,ok,143.4602306596617,100.0,169.01967587806104,66.66666666666666,145.03551159851318,100.0
k_70f84699_1,decline,ok,53.07336902380164,42.20078036398599,157.4149077768388,151.16222604958713,142.2389883014811,164.71848490904227
k_b5abf4f3_0,decline,ok,22.060414626426905,36.53424514351793,141.59846616108965,94.54788968674404,194.2132287667988,97.9549072272364
k_0ac4201f_1,decline,ok,82.94114775734312,16.905390073536733,180.56948629874395,139.48876306092117,190.81042053808798,125.04839062255724
k_700f03c2_0,decline,ok,52.67728524553086,86.59457756166918,90.50426036171628,104.22682391362052,112.92904792423153,85.54191647959233
k_a3082f44_1,decline,ok,84.95688635738942,199.28863166573024,165.15667166018028,166.607280358296,112.58138231166903,288.6605848998454
k_9a84ba99_0,decline,ok,55.600687758115185,74.32239819328184,159.003209869854,172.75823064987276,161.88416167684022,160.6079305354169
k_b4a476fb_0,decline,ok,64.3777192316054,48.0379776381641,60.031162119183655,110.52193699734845,49.10350513949165,81.42777322141926
k_42bde9fe_0,decline,ok,,,,,,
k_a478c796_1,decline,ok,55.939835532532356,120.73375219253393,159.22058941568818,116.65439215119639,207.95981792020575,259.5595348321015
k_b7ed9fb1_1,decline,ok,100.0,100.0,133.33333333333331,66.66666666666666,100.0,100.0
k_0b18d63d_0,decline,ok,50.15622303750828,46.12506289875537,71.23738422539331,107.31058479600277,58.503822841973815,69.40617454254453
k_a1544b9e_0,decline,ok,43.027119441987594,79.80095127921022,92.4323232792627,155.24363851034,60.63291672380209,88.63374693497455
k_3ea00e1d_0,decline,ok,72.28761001608765,84.72177937020797,143.14969786804357,182.32887294023854,91.19328313728458,140.10758465352
k_86bb7c4b_1,decline,ok,48.77704598811014,99.39920018418074,79.73782061078666,131.75022313743102,164.40473527324465,99.46001253091536
k_ac641731_0,decline,ok,223.24632021789185,17.729596673994006,168.4974618882234,80.2567694639681,876.0210839312174,55.79269472217896
k_1d2732ef_0,decline,ok,100.0,100.0,200.0,133.33333333333331,108.57946181311206,129.31649958742204
k_48436dad_1,decline,ok,30.101841540953085,368.6870700971526,30.60520915063997,123.137001197437,28.73858636733853,247.02775978850195
k_9cea4682_1,decline,ok,68.44496969877396,58.96499434836626,144.3134473634515,161.20584345989198,95.03311318836403,123.69823285044052
k_52562a9f_1,decline,ok,187.21244028033104,94.78234807474387,131.6346704401685,181.95410782108405,165.28714403758838,94.50857571473767
k_5c853bb5_0,decline,ok,10.083122464094368,100.0,136.87281951799787,200.0,89.69051341606087,102.53357651076098
k_a7c88262_0,decline,ok,49.54110288946021,10.656356203820648,84.50132041305963,136.7057630084864,73.03445502086632,179.82579248789918
k_5236605f_1,decline,ok,95.57453802268742,100.0,189.15835391124511,200.0,136.82633353495885,100.62858995504476
k_9cea4682_0,decline,ok,1.8427603526766434,29.866827681112678,133.9532990252106,145.03664679224818,217.71215871770923,220.90457065596672
k_a7c88262_1,decline,ok,192.30316575771218,158.18694846356726,166.01267974072874,118.80370365628889,676.6146011369377,232.08724964506078
