L_personal,m_i,policy,completion_rate,mean_recovery,mean_burden,mean_household_violation_months,household_violation_zero_rate
64.0,0.05,Fixed-0.15,81.53846153846153,1.000000040333221,0.1471906349346408,20.942307692307693,0.0
64.0,0.05,CVaR,0.0,0.2831212786867793,0.039669875971884455,20.942307692307693,0.0
64.0,0.05,PPO,91.15384615384615,0.9798261818402042,0.22783907367552783,13.115384615384615,0.7692307692307693
64.0,0.075,Fixed-0.15,81.53846153846153,1.000000040333221,0.1416694810561268,20.942307692307693,0.0
64.0,0.075,CVaR,0.0,0.2831212786867793,0.03418878875595503,20.907692307692308,0.0
64.0,0.075,PPO,91.15384615384615,0.9801690187903771,0.22454827317871798,11.938461538461539,4.615384615384616
64.0,0.1,Fixed-0.15,81.53846153846153,1.000000040333221,0.13271027629732812,20.942307692307693,0.0
64.0,0.1,CVaR,0.0,0.2831212786867793,0.027798399867883003,19.123076923076923,0.0
64.0,0.1,PPO,91.15384615384615,0.9804426259666504,0.218685417219244,11.803846153846154,6.153846153846154
64.0,0.125,Fixed-0.15,81.53846153846153,1.000000040333221,0.12046386468025988,20.942307692307693,0.0
64.0,0.125,CVaR,0.0,0.2831212786867793,0.0240102032447117,14.111538461538462,0.7692307692307693
64.0,0.125,PPO,91.53846153846153,0.9832940075875676,0.20858769277477665,11.838461538461539,6.153846153846154
64.0,0.15,Fixed-0.15,81.53846153846153,1.000000040333221,0.10557852090444417,20.942307692307693,0.0
64.0,0.15,CVaR,0.0,0.2831212786867793,0.02251671268333661,9.765384615384615,11.153846153846155
64.0,0.15,PPO,92.3076923076923,0.989474286388354,0.1955323877982274,11.942307692307692,6.153846153846154
64.0,0.2,Fixed-0.15,81.53846153846153,1.000000040333221,0.07585139273704052,17.476923076923075,4.615384615384616
64.0,0.2,CVaR,0.0,0.2831212786867793,0.01810919059013143,5.9884615384615385,28.076923076923077
64.0,0.2,PPO,92.3076923076923,0.9904151709211882,0.16444834632934036,11.953846153846154,6.153846153846154
96.0,0.05,Fixed-0.15,81.53846153846153,1.000000040333221,0.14863778341449338,20.942307692307693,0.0
96.0,0.05,CVaR,0.0,0.2831212786867793,0.04111702445173703,20.942307692307693,0.0
96.0,0.05,PPO,91.15384615384615,0.9798261818402042,0.22910133500295368,13.55,0.38461538461538464
96.0,0.075,Fixed-0.15,81.53846153846153,1.000000040333221,0.14579285897522146,20.942307692307693,0.0
96.0,0.075,CVaR,0.0,0.2831212786867793,0.03827210001246515,20.942307692307693,0.0
96.0,0.075,PPO,91.15384615384615,0.9801690187903771,0.22766107826183796,12.453846153846154,1.153846153846154
96.0,0.1,Fixed-0.15,81.53846153846153,1.000000040333221,0.14087369762926752,20.942307692307693,0.0
96.0,0.1,CVaR,0.0,0.2831212786867793,0.03352435305323604,20.838461538461537,0.0
96.0,0.1,PPO,91.15384615384615,0.9804426259666504,0.22519121870034642,11.923076923076923,4.615384615384616
96.0,0.125,Fixed-0.15,81.53846153846153,1.000000040333221,0.13356772997010302,20.942307692307693,0.0
96.0,0.125,CVaR,0.0,0.2831212786867793,0.028848471426676243,19.046153846153846,0.38461538461538464
96.0,0.125,PPO,91.53846153846153,0.9832940075875676,0.22077788154753725,11.88076923076923,5.384615384615385
96.0,0.15,Fixed-0.15,81.53846153846153,1.000000040333221,0.12407232101925247,20.942307692307693,0.0
96.0,0.15,CVaR,0.0,0.2831212786867793,0.026903519423603275,15.257692307692308,2.307692307692308
96.0,0.15,PPO,92.3076923076923,0.989474286388354,0.21361068791097748,11.961538461538462,5.769230769230769
96.0,0.2,Fixed-0.15,81.53846153846153,1.000000040333221,0.10126871770717608,19.103846153846153,2.307692307692308
96.0,0.2,CVaR,0.0,0.2831212786867793,0.02512408633807421,10.226923076923077,11.923076923076923
96.0,0.2,PPO,92.3076923076923,0.9904151709211882,0.19227658599286496,11.961538461538462,6.153846153846154
112.0,0.05,Fixed-0.15,81.53846153846153,1.000000040333221,0.14899320579077832,20.942307692307693,0.0
112.0,0.05,CVaR,0.0,0.2831212786867793,0.04147244682802201,20.942307692307693,0.0
112.0,0.05,PPO,91.15384615384615,0.9798261818402042,0.22939949072136104,13.669230769230769,0.0
112.0,0.075,Fixed-0.15,81.53846153846153,1.000000040333221,0.14677470402754894,20.942307692307693,0.0
112.0,0.075,CVaR,0.0,0.2831212786867793,0.03925394506479262,20.942307692307693,0.0
112.0,0.075,PPO,91.15384615384615,0.9801690187903771,0.22834280101433196,12.684615384615384,0.7692307692307693
112.0,0.1,Fixed-0.15,81.53846153846153,1.000000040333221,0.14297350568471123,20.942307692307693,0.0
112.0,0.1,CVaR,0.0,0.2831212786867793,0.035452746721954885,20.942307692307693,0.0
112.0,0.1,PPO,91.15384615384615,0.9804426259666504,0.22662181656137828,12.03076923076923,3.4615384615384617
112.0,0.125,Fixed-0.15,81.53846153846153,1.000000040333221,0.13719964881742683,20.942307692307693,0.0
112.0,0.125,CVaR,0.0,0.2831212786867793,0.0310291967904542,20.023076923076925,0.38461538461538464
112.0,0.125,PPO,91.53846153846153,0.9832940075875676,0.22385504075865917,11.930769230769231,4.230769230769231
112.0,0.15,Fixed-0.15,81.53846153846153,1.000000040333221,0.12940331547125478,20.942307692307693,0.0
112.0,0.15,CVaR,0.0,0.2831212786867793,0.02848184656760945,17.173076923076923,1.153846153846154
112.0,0.15,PPO,92.3076923076923,0.989474286388354,0.2186670827610908,11.973076923076922,5.384615384615385
112.0,0.2,Fixed-0.15,81.53846153846153,1.000000040333221,0.11009051029772468,19.51153846153846,1.153846153846154
112.0,0.2,CVaR,0.0,0.2831212786867793,0.027346317485901814,12.165384615384616,6.923076923076923
112.0,0.2,PPO,92.3076923076923,0.9904151709211882,0.2017864227192004,11.965384615384615,5.769230769230769
