seller_id,active_cv,active_trend_slope,active_trend_r2,seasonality_strength,active_zero_ratio,global_zero_ratio,log_avg_active_rev,spike_ratio,active_months_ratio,n_active,mean_active_rev,cluster,seller_type,pca1,pca2,dist_to_center
001cca7ae9ae17fb1caed9dfb1094831,0.6411395817121606,-0.08473098684091189,0.47011123066193383,0.6388379657448636,0.05555555555555555,0.2916666666666667,7.216261923686685,1.9406118259197087,0.7083333333333334,18,1360.3905555555557,2,안정형 (Stable),-1.506499592199252,2.6665971805007143,1.8947601353836927
002100f778ceb8431b7a1020ff7ab48f,0.5625791150044928,-0.05362329050945698,0.047697872998424026,0.9999999998831152,0.0,0.6666666666666666,5.030927997364018,1.8201545288956003,0.3333333333333333,8,152.075,1,계절형 (Seasonal),-1.0702691588019022,-0.2712308821253587,1.1458473637271964
004c9cd9d87a3c30c522c48c4fc07416,0.5451755558615458,-0.037165774216626826,0.11153851549704288,0.927071238386621,0.0,0.2916666666666667,7.049394231050432,2.305481986701302,0.7083333333333334,17,1151.1605882352942,2,안정형 (Stable),-1.5582315673278813,1.886635465056017,1.9699353217020026
00720abe85ba0859807595bbf045a33b,0.5133596919658175,0.004962779155933482,0.0004906430721366443,0.9999999998453241,0.0,0.6666666666666666,4.843694839340603,2.140744416703465,0.3333333333333333,8,125.9375,1,계절형 (Seasonal),-0.939906955890787,-0.2396939025842642,1.2719678365037286
00ee68308b45bc5e2660cd833c3f81cc,1.0763812003555766,-0.08490601205259701,0.07414800482550953,0.9999999999944974,0.0,0.5,7.43208925277292,3.8700888449918853,0.5,12,1688.3333333333333,1,계절형 (Seasonal),-0.3396942130670311,1.3016074339825054,2.118154670280922
00fc707aaaad2d31347cf883cd2dfe10,1.5026107886185747,-0.37285771721657135,0.17958913784000569,0.9999999999968522,0.0,0.75,7.6568810109513485,4.302722134170694,0.25,6,2114.15,1,계절형 (Seasonal),0.36555242559515355,0.5128089667994827,3.1555716245012952
013900e863eace745d3ec7614cab5b1a,1.15978493692087,0.1429685459197001,0.24693317347036284,1.0123241046223614,0.5,0.7083333333333334,4.759545330417204,3.3493856884182787,0.2916666666666667,14,115.69285714285715,0,불안정형 (Volatile),1.4220494124609584,-0.8041886862247957,1.6871504403038593
014c0679dd340a0e338872e7ec85666a,1.2404030060818911,0.072258430148239,0.10180583697236248,0.5815338407101893,0.3684210526315789,0.5,5.920166388909344,4.557523377604714,0.5,19,371.4736842105263,2,안정형 (Stable),1.784672434464485,2.431022029870764,2.47486796781145
014d9a685fd57276679edd00e07089e5,1.2180150831764722,0.09083103738515161,0.045879340287256216,0.9999999998875148,0.5,0.7916666666666666,4.3039029178923025,3.2878007339168347,0.20833333333333334,10,72.98800000000001,0,불안정형 (Volatile),1.8168833858676887,-0.9497529042348467,1.4816763104419992
0176f73cc1195f367f7b32db1e5b3aa8,0.5469148194859478,0.02232264060265605,0.01374376434448266,0.9999999999606212,0.1,0.625,6.142725340948566,1.8853376980986103,0.375,10,464.32,1,계절형 (Seasonal),-1.0877430144997213,0.19792765329438924,0.8844912820234037
01bcc9d254a0143f0ce9791b960b2a47,1.0900971639366341,-0.2282337192411938,0.17534330441849746,0.999999999953909,0.2857142857142857,0.7916666666666666,5.298467355299161,3.3701954477530927,0.20833333333333334,7,199.03,1,계절형 (Seasonal),0.8120518941645873,-0.6740158483817089,1.7598581590179747
01c97ebb5cdac52891c0ed1c37ba0012,2.188305170638738,0.0813119429364738,0.029339441234269088,1.119452517666275,0.625,0.75,3.6134484918099417,9.03757575507184,0.25,16,36.09375,0,불안정형 (Volatile),5.555474288739884,-0.7613309934858254,3.8369125721686093
