seller_id,type,mape_val,mape_test,status
k_392e0502_0,decline,28.924267928167612,208.93360367880024,ok
k_ab9db4cf_1,decline,31.716573867109183,226.4544801037367,ok
k_3ea00e1d_0,decline,68.7803669718679,79.32019915763401,ok
k_700f03c2_0,decline,56.72914821889723,128.68338751261646,ok
k_5b33b527_1,decline,94.37077855784875,202.0967080822563,ok
k_48436dad_1,decline,28.095788843585943,359.33519274283753,ok
k_0ac4201f_1,decline,82.16656198763911,14.72304715410782,ok
k_70f84699_1,decline,52.024467298708366,41.01105719235111,ok
k_9cea4682_0,decline,1.8511363895958433,29.4786983951497,ok
k_b4a476fb_0,decline,60.994688542492604,45.040706224529664,ok
k_cd843d4c_1,decline,66.14316593141216,58.61007739096645,ok
k_5c853bb5_0,decline,8.384971682548333,116.34034895548089,ok
k_52562a9f_0,decline,182.81912007677323,94.69845446313117,ok
k_a7c88262_0,decline,46.208391743473534,9.376873289014563,ok
k_5ee7fd21_0,decline,158.43770723478156,26.61854806001082,ok
k_1b7e5006_0,decline,93.29329941958122,2668.493636514072,ok
k_a478c796_1,decline,55.643765242283095,117.54767302163702,ok
k_f25e2390_0,decline,76.58480187366945,193.68962868262864,ok
k_52562a9f_1,decline,227.72233869797526,1521.7125574101397,ok
k_1771297a_0,decline,79.31229316885393,55.67126348595494,ok
k_86bb7c4b_1,decline,31.543842904271248,100.82690984593825,ok
k_1d2732ef_0,decline,121.74395872185467,269.6251411856033,ok
k_ac641731_0,decline,213.76219073358564,20.215476818170757,ok
k_9646c351_1,decline,558.1268396481579,443.059925974798,ok
k_a7c88262_1,decline,190.59753803295663,273.9017579474358,ok
k_96163520_1,decline,60.36658690704293,169.36552390916404,ok
k_78744a20_0,decline,30.483980357248342,46.431236167740984,ok
k_42bde9fe_0,decline,,,ok
k_b7ed9fb1_1,decline,224.93994522782293,208.72691207577012,ok
k_9a84ba99_0,decline,52.983466839158474,68.14897401125393,ok
k_5236605f_1,decline,97.44179835510464,108.98662845613232,ok
k_9df57502_1,decline,1.445695702096973,,ok
k_ce27a3cc_0,decline,334.1293773327135,151.35318019453678,ok
k_72bc2cce_1,decline,55.45118861226754,301.83166690107527,ok
k_8f78f090_0,decline,12.733243921609297,24.10384441359484,ok
k_2a1348e9_0,decline,335.81602208774655,,ok
k_f8d5c708_1,decline,27.19287855583472,48.9042037562158,ok
k_0b18d63d_0,decline,48.66186350182613,48.346529334271985,ok
k_6bb0724e_1,decline,19.228349780423763,53.39080074149138,ok
k_6989574b_0,decline,26.59058954474027,12.29184959288747,ok
k_52ac6f92_0,decline,5084.088679781443,40.70106285974432,ok
k_404e1ba0_1,decline,,12.23626706975178,ok
k_9cea4682_1,decline,60.29883887198718,53.66356608305631,ok
k_a3082f44_1,decline,83.95731832267583,449.52210889992676,ok
k_9c3c24ec_0,decline,51.80037239282288,,ok
k_b5abf4f3_0,decline,24.05786555685879,35.741693037292855,ok
