seller_id,type,mape_val,mape_test,smape_val,smape_test,wape_val,wape_test
k_001cca7a_0,stable,35.481868855216206,33.97579495759877,29.143716380390245,27.540907032677286,33.364666560097135,29.496006656981095
k_001cca7a_1,stable,57.719866117653304,134.7496300021974,43.132911920250386,71.95474682250143,52.493162604728894,101.94565454280375
k_004c9cd9_0,stable,45.131268321731824,40.67667810350561,59.01083964321311,52.178011775025446,45.3225771971229,43.00269013181391
k_004c9cd9_1,stable,45.35302694363823,29.807926073192466,61.044206797878346,35.21638562263898,47.7235661831869,30.225923370301018
k_00ee6830_0,stable,41.809894055781065,47.339378582380824,54.48313287295886,63.04080663473201,45.251160848371484,49.046101587604674
k_00ee6830_1,stable,57.59768456131972,26.254193246564412,81.34225640038837,33.255405720219215,58.052845133688635,31.344435965107348
k_013900e8_0,growth,42.983312632249806,59.02345377936244,103.48840680067157,122.54333551172427,75.32340033171826,78.96812765165171
k_013900e8_1,stable,33.53279592442035,72.78077389787482,43.420049890396825,114.75251554619659,41.478508117872884,73.57648291017759
k_014c0679_0,stable,28.81164991011527,135.16073374888282,38.764513333138545,74.6309783315627,35.50373696461795,78.15889073963214
k_014c0679_1,stable,31.13777129109691,80.3624320819253,38.45882166570918,60.93281906750222,30.576156749938598,50.98592110523713
k_01c97ebb_0,volatile,61.00827428189493,78.47688050538585,162.59563844139822,176.38515800217144,121.30077246198832,126.60528310444124
k_01c97ebb_1,stable,198.995147407412,29.365818618913664,106.68064883875748,89.7596078290027,96.85203602330414,62.1132780462755
k_01cf7e3d_0,stable,64.23710879391552,26.831302977889415,108.94396988186497,84.65442229564489,100.98055974893414,77.48319180577722
k_01cf7e3d_1,stable,36.53190967675252,37.96668275385131,102.9588449652793,48.59635872029936,80.80883555464035,40.45598448860024
k_01fdefa7_0,stable,27.46757716752613,40.61633591985731,33.926519333979826,51.86027734973242,29.050367242254154,42.62882262265618
k_01fdefa7_1,stable,32.903123721316426,24.453864207096963,42.58943491679117,28.37474462019584,35.9531064971645,25.180294161332473
k_02c98809_0,stable,50.5591289585269,47.64060558423941,111.97037240853602,62.929988778575684,81.17915203515884,48.5801334046973
k_02c98809_1,stable,48.37124724501933,51.174692652504994,64.13113204901228,69.21114444184924,48.15345948285057,52.068848776122515
k_02d35243_0,stable,18.79838592859788,52.156235418226395,140.24952850629333,70.81034182277341,130.5762160369732,52.71869635437262
k_02d35243_1,stable,12.90149944687517,35.45909786317657,75.96294507567104,96.62307304879569,48.9607542494543,78.91262283591813
k_02ecc2a1_0,stable,24.636185860293626,45.18924156675064,29.406762039135458,105.72988267057062,26.047461227965762,74.76991403896116
k_02ecc2a1_1,stable,161.16802317122526,53.27240838307923,73.36844479543271,116.83959844834713,57.96045034779779,78.48877690842122
k_0432ead4_0,decline,4018.8622719323066,1001.8238935062067,196.83959027957877,188.9057511625646,11687.518924796712,3015.390953244562
k_0432ead4_1,stable,,,200.0,200.0,,
k_048c2757_0,stable,47.05960568003114,34.96613383519034,62.16286834373954,42.40589565181508,47.52606019543739,34.96230197282155
k_048c2757_1,stable,50.96155630431778,37.23625993916692,68.889961399282,46.53675336078165,51.04086654858692,38.57631687111467
k_04aba032_0,decline,59.99918001975759,54.21557210138923,86.297071196442,116.26318823094957,61.33637740957663,80.72963810674445
k_04aba032_1,stable,39.406979504587206,42.26984041914268,51.97126579952989,102.3990890584334,42.666396682170195,69.67865747899916
k_0509040e_0,stable,41.88608868399598,53.022836688213225,59.20752289306704,60.972288208953785,53.991934142813214,52.93005936101592
k_0509040e_1,growth,40.67629639773308,16.817759981086855,54.26152606427902,19.144085350016628,43.1098088756899,19.814305491139603
k_054694fa_0,stable,59.935984390525284,244.6625340441883,94.14267987175097,170.01471382788384,77.07627138564939,928.2665144532432
k_054694fa_1,stable,15.152402861493886,7.487700615840126,16.6889463227906,72.00162125269284,15.697011419035084,58.31268858021929
k_058cb5ae_0,stable,34.45219819961408,51.4607172044256,94.82406572470174,69.7917669724267,61.02392464384877,52.24559367450807
k_058cb5ae_1,stable,54.0570673882813,41.02512515983904,74.28443274861597,49.896633749136996,54.772229368968574,53.358399732599956
k_05d2173d_0,stable,36.58560666289078,32.52780292653624,52.64268061469527,31.557240104054912,48.1811434370798,29.77369862794017
k_05d2173d_1,stable,225.778015354991,54.84949946161072,66.12080848306849,75.73185679611014,57.05182690768362,54.99379452666622
k_05ff92fe_0,stable,56.148590220162255,65.04048927728057,79.35345374829723,165.46172943721336,57.7366535192713,141.09972501974147
k_05ff92fe_1,stable,43.054174657976915,52.40201173766601,55.51252534326149,114.3100778885177,43.48806065847737,76.37418712170914
k_06579cb2_0,stable,33.157228300970196,34.26428114100424,40.18038018522655,41.96079455306685,32.867371622997545,35.093852986499826
k_06579cb2_1,stable,43.902872553573175,35.46917356219703,56.459898430179386,43.37487414123018,43.76965734500487,36.13356267648397
k_066a6914_0,stable,48.446059309317555,41.2402699191035,66.45421176098311,53.70923873318332,51.19855915817556,45.20936942094359
k_066a6914_1,stable,,54.040218591580846,200.0,73.06641303776516,,62.02650188288479
k_06e5eefc_0,growth,38.69697430218784,21.160013338293794,48.12581497400105,25.88436649087639,38.697261501973074,26.74441465354549
k_06e5eefc_1,growth,54.53232787441762,23.739809622899255,116.76739679012802,27.137047191615427,77.58465035659358,25.615799493924495
k_07017df3_0,volatile,289.9565999627576,13.828952976293069,120.97589029257063,137.64486451555706,126.2965414485039,264.91018872215847
k_07017df3_1,other,61.00955997030297,59.27115917431875,162.59652580291012,148.573789017664,164.14030268544437,351.19063997350804
k_070d1653_0,stable,41.83736752794878,48.2776974295399,54.596333723819235,115.18321420300191,45.0920727049562,81.18917002081143
k_070d1653_1,stable,55.373355061838524,44.5734833848446,79.21955839693945,58.108764156143685,57.26939936973411,45.49769749752925
k_0725b8c0_0,stable,59.61139948919253,36.15660375238729,91.11047627694683,96.17079283903534,69.69661856680136,70.73293209313664
k_0725b8c0_1,seasonal,205.6596178017251,245.68944511736444,87.92156616229573,64.14561927916594,144.22101553273168,48.85230797713521
k_07bf9669_0,stable,61.73856225980509,150.83296674520815,96.8131811026864,88.43779847270375,147.30899328341098,84.05385803718187
k_07bf9669_1,stable,39.26004386786581,24.506389723857637,52.09139324276867,28.176910782797922,42.533699460109325,25.155334191865098
k_080102cd_0,stable,64.18231199068465,46.527262142217225,95.09847658288507,63.644736697328185,65.47462197131505,51.17525267912135
k_080102cd_1,growth,47.67877890344587,46.488174763753285,63.5843842289236,61.34407421413021,48.72550961033139,47.89969189094441
k_080199a1_0,stable,19.703390836284726,37.32842648552226,22.995683828812854,48.80733435592203,20.39499768942904,42.35621154478967
k_080199a1_1,stable,48.613285843305064,30.756533040500166,65.22874551218932,37.090021184249196,49.050530967004406,32.37792714434651
k_08d0949a_0,stable,18.991521510087797,52.380030724622806,21.052653162013833,97.23173123313828,21.011206328909505,97.27611005308823
k_08d0949a_1,stable,35.67253186994848,32.15329197430039,44.241192286558636,92.94648756179052,38.31587042889117,66.76569139816394
k_09f952a5_0,growth,34.83204962588336,35.746976261469484,43.04034979139902,43.80239734189138,34.83788169758587,35.955561201143574
k_09f952a5_1,growth,35.65910529238137,38.05092466525512,43.876948550981695,48.34965076459767,36.37960116709543,39.910753596861156
k_0ac4201f_0,stable,37.51028866487775,61.74343774160733,99.9996962116547,89.33734416449846,75.95057551934184,61.737873533776124
