#{"t_start": 1779091296.1680708, "env_id": "None"}
r,l,t
-31.127542,24,1.770033
-26.355461,24,1.772478
-31.787351,24,1.77493
-31.803298,24,1.77745
-14.968257,24,1.779901
-26.301208,24,1.782347
-20.652997,24,1.784744
-27.983485,24,1.787156
-16.651576,24,1.789587
-29.646302,24,1.792061
-20.424155,19,1.794283
-31.28244,24,1.796817
-29.31492,24,1.799305
-26.20302,24,1.801737
-23.768121,22,1.804067
-20.803264,24,1.806563
-28.322777,24,1.808995
-23.821792,23,1.81132
-9.497466,23,2.037932
-30.123262,24,2.040495
-23.440202,24,2.043093
-25.846708,24,2.045625
-22.100564,22,2.047903
-30.272455,24,2.050356
-31.905801,24,2.052785
-29.016268,23,2.055106
-29.697133,24,2.057706
-30.406756,24,2.060158
-29.389113,23,2.062484
-27.193125,24,2.064897
-21.779225,24,2.067281
-27.326931,23,2.069561
-26.778225,22,2.071741
-30.453507,24,2.074122
-29.001709,24,2.07651
-31.439603,24,2.078874
-28.576954,23,2.081128
-27.84879,24,2.083501
-30.840602,24,2.085853
-28.18308,24,2.088195
-29.007872,24,2.090543
-30.884102,24,2.09288
-24.312022,20,2.094858
-30.717345,24,2.097218
-30.315648,24,2.099562
-29.393639,24,2.101932
-30.72181,24,2.104283
-28.348459,22,2.106454
-29.174651,24,2.108785
-25.475252,22,2.11108
-20.294784,24,2.113534
-16.421779,24,2.115971
-30.010945,24,2.118414
-23.16506,24,2.120851
-28.68667,24,2.123364
-28.084254,24,2.125767
-31.612785,24,2.128144
-24.680671,21,2.130234
-26.326058,24,2.132591
-24.178005,24,2.134947
-25.537744,24,2.137479
-25.326463,21,2.139662
-30.831044,24,2.142131
-13.979576,16,2.143787
-15.775332,24,2.146226
-28.676407,24,2.148654
-30.740077,24,2.15106
-11.331593,19,2.153003
-24.949701,24,2.155422
-29.315903,24,2.15785
-22.547288,24,2.16025
-25.532995,24,2.162703
-30.044785,24,2.165115
-29.158605,24,2.167505
-25.78991,22,2.169697
-30.81223,24,2.172084
-26.193328,24,2.174474
-31.362511,24,2.176845
-20.029954,24,2.1792
-29.582488,24,2.18158
-28.405829,24,2.183955
-29.254641,24,2.186325
-30.336036,24,2.188671
-19.594803,22,2.190938
-18.221176,23,2.193303
-29.360276,23,2.195658
-31.068258,24,2.198083
-25.347397,22,2.200313
-27.986291,22,2.202564
-23.707266,24,2.204995
-17.451871,23,2.207317
-24.109828,24,2.209743
-11.291622,24,2.212166
-30.268479,24,2.214578
-20.67728,24,2.217178
-27.501947,23,2.219527
-23.441919,24,2.221936
-15.688847,24,2.22432
-13.404627,24,2.226707
-26.797167,24,2.229096
-28.310563,24,2.23146
-22.478786,21,2.233522
-23.286605,21,2.235593
-20.618993,24,2.23798
-16.354092,24,2.240327
-23.928485,24,2.46675
-23.650589,20,2.468941
-12.966848,14,2.470403
-30.790668,24,2.472791
-16.257162,24,2.475133
-30.001921,24,2.477496
-26.743952,24,2.47985
-18.858971,24,2.482196
-23.898489,21,2.484526
-20.16062,17,2.486333
-20.724955,24,2.488746
-21.872511,23,2.491079
-28.75144,24,2.49349
-27.210201,24,2.495891
-29.728885,24,2.498277
-17.164717,24,2.500668
-12.464528,18,2.502505
-23.429562,19,2.504402
-25.866512,24,2.506765
-28.867186,24,2.509144
-31.027056,24,2.511511
-20.447528,24,2.513899
-17.583591,24,2.516267
-29.098199,23,2.51854
-16.205658,23,2.52088
-30.174079,24,2.523234
-28.586219,24,2.525604
-27.248727,24,2.527945
-28.759633,24,2.530323
-21.268947,24,2.532678
-23.996859,24,2.535042
-13.650769,16,2.53673
-17.010696,24,2.539123
-14.620078,24,2.541502
-15.692583,24,2.543863
-31.235499,24,2.546225
-25.304716,24,2.548555
-20.307375,23,2.550821
-22.61602,24,2.553132
-29.138883,24,2.555446
-22.443002,20,2.557401
-29.200552,24,2.559721
-21.401158,24,2.562032
-26.86466,23,2.564518
-23.985964,23,2.566869
-22.679654,24,2.569303
-20.328346,24,2.571723
-29.941241,24,2.574151
-29.689958,24,2.576554
-15.13861,24,2.57896
-24.533414,24,2.581362
-21.089791,24,2.583768
-18.101364,21,2.585855
-22.507742,21,2.587956
-24.894812,24,2.590349
-11.763612,24,2.592725
-26.38366,24,2.595102
-29.637437,23,2.597374
-25.05004,23,2.599657
-23.974192,20,2.601656
-16.688209,18,2.603509
-25.61545,22,2.605711
-30.415235,24,2.608106
-27.718963,22,2.610304
-16.998828,17,2.612012
-25.566518,20,2.614018
-6.681291,8,2.614874
-26.001773,24,2.617241
-23.717105,21,2.619321
-26.618994,24,2.621736
-30.208616,24,2.624115
-28.376013,24,2.626496
-29.272385,24,2.628852
-29.845551,24,2.631239
-23.110238,24,2.633586
-15.698333,17,2.635285
-27.764321,24,2.637646
-22.556137,23,2.639906
-21.854271,20,2.641901
-25.457355,22,2.644351
-16.418061,19,2.646363
-25.284573,23,2.720682
-31.123963,24,2.723215
-29.834089,24,2.72569
-24.328925,24,2.728095
-29.231729,23,2.73057
-28.865808,24,2.733082
-28.376433,24,2.735533
-23.562924,24,2.738188
-29.512118,24,2.740593
-30.608294,24,2.743001
-24.495119,22,2.966541
-31.71054,24,2.969065
-29.01724,24,2.971485
-30.148222,24,2.973876
-14.51813,17,2.975628
-28.924612,24,2.978235
-14.759271,24,2.980705
-26.874812,22,2.982956
-28.772283,23,2.985286
-22.005614,19,2.98724
-30.722211,24,2.989636
-23.592024,24,2.992056
-23.782065,24,2.994464
-24.867847,24,2.99688
-21.318328,24,2.999278
-19.955309,20,3.001318
-27.831394,22,3.003529
-23.133108,24,3.005934
-9.162328,14,3.007389
-20.76604,20,3.009409
-19.671395,24,3.011789
-12.160891,14,3.013236
-29.604249,23,3.015507
-21.39741,23,3.017832
-26.688742,24,3.02025
-21.954883,22,3.022467
-20.7469,21,3.024587
-24.860287,22,3.026785
