#{"t_start": 1780031485.44627, "env_id": "None"}
r,l,t
-15.249115,14,15.674154
-10.468329,12,15.713725
-17.926764,15,15.762215
-17.689514,15,15.810492
-2.68259,10,15.842707
-25.080857,21,15.910138
-17.376872,20,15.975062
-28.437101,24,16.052754
-14.644119,21,16.120433
-14.680063,14,16.166229
-4.109912,7,16.188884
-15.931961,14,16.234168
-14.552222,13,16.276649
-9.487137,11,16.312
-15.560736,14,16.356866
-20.831954,24,16.435002
-4.942975,7,16.457356
-23.570993,23,16.53202
-6.983533,18,16.740228
-11.702528,11,16.777364
-13.919738,16,16.830819
-24.913188,24,16.90936
-11.505465,15,16.957842
-13.620795,12,16.996987
-12.827605,12,17.037343
-30.84387,24,17.116665
-5.323595,7,17.139998
-14.672803,13,17.181776
-24.781999,20,17.246366
-9.601165,11,17.282089
-21.712157,24,17.360566
-10.208452,10,17.393498
-30.321459,24,17.471559
-10.011546,10,17.503854
-13.921237,13,17.546402
-13.093067,12,17.585764
-13.520728,12,17.625225
-24.594781,22,17.69612
-11.613442,11,17.732572
-28.206681,24,17.817447
-27.699689,23,17.894821
-19.458504,16,17.948185
-27.569111,23,18.022379
-8.306456,9,18.052059
-32.297224,24,18.133804
-14.614291,13,18.17645
-9.88593,10,18.209733
-21.249601,18,18.268521
-28.328053,23,18.343372
-6.992004,9,18.372696
-5.529246,10,18.406689
-17.13273,24,18.486577
-18.184092,17,18.543838
-23.335331,24,18.62505
-29.125841,24,18.704019
-5.871135,9,18.734005
-8.575174,9,18.764608
-20.755484,19,18.828096
-16.251428,18,18.887071
-8.933288,12,18.926746
-15.17395,16,18.980169
-30.268475,24,19.061391
-20.154507,17,19.119272
-9.991694,13,19.16246
-7.325996,11,19.198932
-19.095136,17,19.254694
-14.807532,13,19.297623
-4.301015,10,19.330318
-18.611032,19,19.392167
-18.859257,16,19.444723
-22.355946,24,19.523357
-16.174025,16,19.57669
-31.046935,24,19.655619
-10.25885,10,19.688575
-28.597649,24,19.766803
-31.306749,24,19.843954
-18.392997,18,19.903209
-24.221992,20,19.968502
-16.408534,19,20.032231
-15.15029,14,20.078039
-30.362247,24,20.156495
-11.538377,11,20.192579
-20.261553,17,20.248048
-21.41096,24,20.326437
-11.234913,17,20.382881
-26.577704,21,20.450546
-11.654061,11,20.487284
-14.963754,15,20.536493
-20.800731,17,20.592431
-26.372152,24,20.67189
-17.088141,23,20.748269
-14.153131,13,20.790409
-15.232775,20,20.854859
-26.880314,22,20.925967
-6.005516,11,20.962261
-15.36504,14,21.007877
-8.079843,13,21.050982
-2.714754,8,21.078088
-10.140273,24,21.155875
-11.585675,12,21.195359
-19.988443,17,21.250542
-13.523275,13,21.292244
-13.057411,13,21.334802
-26.545081,24,21.412227
-12.341495,20,21.477678
-5.733067,9,21.50673
-28.066524,23,21.584322
-21.599968,24,21.661559
-28.854442,23,21.736515
-14.688495,24,21.814327
-14.576938,13,21.856397
-16.912146,17,21.911502
-19.350013,19,21.973524
-19.456615,18,22.033452
-25.504876,22,22.105936
-20.384166,23,22.181383
-13.407442,15,22.229629
-19.295744,17,22.284507
-19.437209,16,22.337014
-24.501473,20,22.401774
-14.02631,14,22.447057
-3.341427,11,22.482796
-8.71562,9,22.512086
-19.550161,19,22.575124
-8.859362,10,22.607548
-28.015388,22,22.679579
-26.03406,24,22.757223
-22.182987,23,22.831624
-21.132622,17,22.886764
-14.268374,22,22.957783
-15.876469,14,23.003353
-18.096387,16,23.055768
-24.52346,22,23.12783
-29.838186,24,23.2089
-9.221104,14,23.254802
-15.401675,16,23.307004
-15.746774,21,23.374995
-6.902135,15,23.423577
0.575077,6,23.443013
-1.6979,9,23.472976
-31.890698,24,23.55297
